ST_FIPS,Munic_FIPS,Year,Population,Combined_FIPS,Border_County,County,county_state,Border_State,state_name,Aggregate,Aggregate_Category,SFGR_Cases,SFGR_Inc,SFGR_Cases_Supp,SFGR_Inc_Supp,Ac_Syph_Cases,Ac_Syph_Inc,Ac_Syph_Cases_Supp,Ac_Syph_Inc_Supp,Gon_Cases,Gon_Inc,Gon_Cases_Supp,Gon_Inc_Supp,TB_Cases,TB_Inc,TB_Cases_Supp,TB_Inc_Supp,AIDS_Cases,AIDS_Inc,AIDS_Cases_Supp,AIDS_Inc_Supp,HepA_Cases,HepA_Inc,HepA_Cases_Supp,HepA_Inc_Supp,HepB_Cases,HepB_Inc,HepB_Cases_Supp,HepB_Inc_Supp,BinationBorn_Count,BinationBorn_Count_Supp,BinationBorn_Percent_Supp,BinationBorn_Percent,Country
1,000,2010,1198510,1000,,,,No,Aguascalientes,Non-border States,4,0,0,No,No,65,5.42,No,No,3,0.25,No,No,118,9.85,No,No,36,3,No,No,470,39.22,No,No,7,0.58,No,No,8629,No,No,0.72,Mexico
1,000,2011,1223425,1000,,,,No,Aguascalientes,Non-border States,4,0,0,No,No,40,3.27,No,No,2,0.16,No,No,86,7.03,No,No,40,3.27,No,No,339,27.71,No,No,6,0.49,No,No,,No,No,,Mexico
1,000,2012,1250962,1000,,,,No,Aguascalientes,Non-border States,4,1,0.08,No,No,51,4.08,No,No,10,0.8,No,No,75,6,No,No,38,3.04,No,No,429,34.29,No,No,5,0.4,No,No,,No,No,,Mexico
1,000,2013,1278202,1000,,,,No,Aguascalientes,Non-border States,4,0,0,No,No,42,3.29,No,No,4,0.31,No,No,95,7.43,No,No,45,3.52,No,No,122,9.54,No,No,0,0,No,No,,No,No,,Mexico
1,000,2014,1305273,1000,,,,No,Aguascalientes,Non-border States,4,0,0,No,No,28,2.15,No,No,6,0.46,No,No,56,4.29,No,No,41,3.14,No,No,42,3.22,No,No,5,0.38,No,No,,No,No,,Mexico
1,000,2015,1331825,1000,,,,No,Aguascalientes,Non-border States,4,0,0,No,No,25,1.88,No,No,5,0.38,No,No,73,5.48,No,No,27,2.03,No,No,22,1.65,No,No,4,0.3,No,No,,No,No,,Mexico
1,000,2016,1355321,1000,,,,No,Aguascalientes,Non-border States,4,0,0,No,No,49,3.62,No,No,12,0.89,No,No,70,5.16,No,No,20,1.48,No,No,8,0.59,No,No,4,0.3,No,No,,No,No,,Mexico
1,000,2017,1375782,1000,,,,No,Aguascalientes,Non-border States,4,0,0,No,No,82,5.96,No,No,6,0.44,No,No,60,4.36,No,No,17,1.24,No,No,3,0.22,No,No,1,0.07,No,No,,No,No,,Mexico
1,000,2018,1395794,1000,,,,No,Aguascalientes,Non-border States,4,0,0,No,No,106,7.59,No,No,9,0.64,No,No,76,5.44,No,No,37,2.65,No,No,1,0.07,No,No,3,0.21,No,No,,No,No,,Mexico
1,000,2019,1415421,1000,,,,No,Aguascalientes,Non-border States,4,0,0,No,No,141,9.96,No,No,18,1.27,No,No,92,6.5,No,No,19,1.34,No,No,8,0.57,No,No,3,0.21,No,No,,No,No,,Mexico
1,000,2020,1434635,1000,,,,No,Aguascalientes,Non-border States,4,0,0,No,No,110,7.67,No,No,15,1.05,No,No,55,3.83,No,No,,,,,4,0.28,No,No,1,0.07,No,No,9586,No,No,0.67,Mexico
2,000,2010,3183653,2000,,,,Yes,Baja California,Border States,3,289,9.08,No,No,249,7.82,No,No,89,2.8,No,No,1692,53.15,No,No,131,4.11,No,No,333,10.46,No,No,38,1.19,No,No,114009,No,No,3.58,Mexico
2,000,2011,3222606,2000,,,,Yes,Baja California,Border States,3,213,6.61,No,No,378,11.73,No,No,84,2.61,No,No,1793,55.64,No,No,99,3.07,No,No,219,6.8,No,No,27,0.84,No,No,,No,No,,Mexico
2,000,2012,3258386,2000,,,,Yes,Baja California,Border States,3,254,7.8,No,No,479,14.7,No,No,131,4.02,No,No,1948,59.78,No,No,167,5.13,No,No,300,9.21,No,No,12,0.37,No,No,,No,No,,Mexico
2,000,2013,3292766,2000,,,,Yes,Baja California,Border States,3,559,16.98,No,No,370,11.24,No,No,61,1.85,No,No,1839,55.85,No,No,186,5.65,No,No,255,7.74,No,No,15,0.46,No,No,,No,No,,Mexico
2,000,2014,3326218,2000,,,,Yes,Baja California,Border States,3,93,2.8,No,No,300,9.02,No,No,110,3.31,No,No,1897,57.03,No,No,133,4,No,No,219,6.58,No,No,41,1.23,No,No,,No,No,,Mexico
2,000,2015,3357794,2000,,,,Yes,Baja California,Border States,3,15,0.45,No,No,285,8.49,No,No,156,4.65,No,No,1988,59.21,No,No,282,8.4,No,No,216,6.43,No,No,59,1.76,No,No,,No,No,,Mexico
2,000,2016,3403335,2000,,,,Yes,Baja California,Border States,3,4,0.12,No,No,322,9.46,No,No,109,3.2,No,No,2047,60.15,No,No,213,6.26,No,No,95,2.79,No,No,37,1.09,No,No,,No,No,,Mexico
2,000,2017,3462872,2000,,,,Yes,Baja California,Border States,3,19,0.55,No,No,458,13.23,No,No,508,14.67,No,No,2094,60.47,No,No,278,8.03,No,No,51,1.47,No,No,43,1.24,No,No,,No,No,,Mexico
2,000,2018,3521242,2000,,,,Yes,Baja California,Border States,3,17,0.48,No,No,500,14.2,No,No,349,9.91,No,No,2099,59.61,No,No,306,8.69,No,No,51,1.45,No,No,54,1.53,No,No,,No,No,,Mexico
2,000,2019,3578561,2000,,,,Yes,Baja California,Border States,3,8,0.22,No,No,532,14.87,No,No,321,8.97,No,No,2667,74.53,No,No,378,10.56,No,No,87,2.43,No,No,43,1.2,No,No,,No,No,,Mexico
2,000,2020,3634868,2000,,,,Yes,Baja California,Border States,3,6,0.17,No,No,374,10.29,No,No,315,8.67,No,No,1852,50.95,No,No,,,,,34,0.94,No,No,18,0.5,No,No,132673,No,No,3.65,Mexico
3,000,2010,636185,3000,,,,No,Baja California Sur,Non-border States,4,172,27.04,No,No,10,1.57,No,No,27,4.24,No,No,143,22.48,No,No,37,5.82,No,No,83,13.05,No,No,8,1.26,No,No,4507,No,No,0.71,Mexico
3,000,2011,651419,3000,,,,No,Baja California Sur,Non-border States,4,63,9.67,No,No,18,2.76,No,No,16,2.46,No,No,166,25.48,No,No,18,2.76,No,No,89,13.66,No,No,2,0.31,No,No,,No,No,,Mexico
3,000,2012,668635,3000,,,,No,Baja California Sur,Non-border States,4,68,10.17,No,No,42,6.28,No,No,32,4.79,No,No,159,23.78,No,No,41,6.13,No,No,249,37.24,No,No,3,0.45,No,No,,No,No,,Mexico
3,000,2013,685784,3000,,,,No,Baja California Sur,Non-border States,4,54,7.87,No,No,32,4.67,No,No,13,1.9,No,No,177,25.81,No,No,4,0.58,No,No,107,15.6,No,No,1,0.15,No,No,,No,No,,Mexico
3,000,2014,702923,3000,,,,No,Baja California Sur,Non-border States,4,3,0.43,No,No,30,4.27,No,No,18,2.56,No,No,170,24.18,No,No,13,1.85,No,No,65,9.25,No,No,6,0.85,No,No,,No,No,,Mexico
3,000,2015,719846,3000,,,,No,Baja California Sur,Non-border States,4,9,1.25,No,No,20,2.78,No,No,18,2.5,No,No,184,25.56,No,No,26,3.61,No,No,121,16.81,No,No,4,0.56,No,No,,No,No,,Mexico
3,000,2016,736995,3000,,,,No,Baja California Sur,Non-border States,4,1,0.14,No,No,19,2.58,No,No,25,3.39,No,No,209,28.36,No,No,18,2.44,No,No,234,31.75,No,No,4,0.54,No,No,,No,No,,Mexico
3,000,2017,754270,3000,,,,No,Baja California Sur,Non-border States,4,2,0.27,No,No,65,8.62,No,No,48,6.36,No,No,212,28.11,No,No,14,1.86,No,No,86,11.4,No,No,1,0.13,No,No,,No,No,,Mexico
3,000,2018,771294,3000,,,,No,Baja California Sur,Non-border States,4,6,0.78,No,No,74,9.59,No,No,61,7.91,No,No,246,31.89,No,No,61,7.91,No,No,118,15.3,No,No,3,0.39,No,No,,No,No,,Mexico
3,000,2019,788119,3000,,,,No,Baja California Sur,Non-border States,4,0,0,No,No,107,13.58,No,No,66,8.37,No,No,298,37.81,No,No,79,10.02,No,No,120,15.23,No,No,4,0.51,No,No,,No,No,,Mexico
3,000,2020,804708,3000,,,,No,Baja California Sur,Non-border States,4,0,0,No,No,86,10.69,No,No,36,4.47,No,No,207,25.72,No,No,,,,,77,9.57,No,No,2,0.25,No,No,5939,No,No,0.74,Mexico
4,000,2010,833942,4000,,,,No,Campeche,Non-border States,4,0,0,No,No,18,2.16,No,No,27,3.24,No,No,108,12.95,No,No,116,13.91,No,No,119,14.27,No,No,6,0.72,No,No,1285,No,No,0.15,Mexico
4,000,2011,849941,4000,,,,No,Campeche,Non-border States,4,0,0,No,No,18,2.12,No,No,44,5.18,No,No,141,16.59,No,No,134,15.77,No,No,190,22.35,No,No,9,1.06,No,No,,No,No,,Mexico
4,000,2012,867064,4000,,,,No,Campeche,Non-border States,4,0,0,No,No,7,0.81,No,No,4,0.46,No,No,139,16.03,No,No,109,12.57,No,No,43,4.96,No,No,5,0.58,No,No,,No,No,,Mexico
4,000,2013,883911,4000,,,,No,Campeche,Non-border States,4,2,0.23,No,No,19,2.15,No,No,2,0.23,No,No,156,17.65,No,No,167,18.89,No,No,75,8.49,No,No,6,0.68,No,No,,No,No,,Mexico
4,000,2014,900589,4000,,,,No,Campeche,Non-border States,4,0,0,No,No,27,3,No,No,7,0.78,No,No,125,13.88,No,No,149,16.54,No,No,117,12.99,No,No,6,0.67,No,No,,No,No,,Mexico
4,000,2015,916832,4000,,,,No,Campeche,Non-border States,4,3,0.33,No,No,25,2.73,No,No,18,1.96,No,No,138,15.05,No,No,191,20.83,No,No,55,6,No,No,8,0.87,No,No,,No,No,,Mexico
4,000,2016,933436,4000,,,,No,Campeche,Non-border States,4,1,0.11,No,No,36,3.86,No,No,18,1.93,No,No,180,19.28,No,No,225,24.1,No,No,53,5.68,No,No,4,0.43,No,No,,No,No,,Mexico
4,000,2017,950458,4000,,,,No,Campeche,Non-border States,4,1,0.11,No,No,54,5.68,No,No,17,1.79,No,No,155,16.31,No,No,160,16.83,No,No,7,0.74,No,No,2,0.21,No,No,,No,No,,Mexico
4,000,2018,967319,4000,,,,No,Campeche,Non-border States,4,6,0.62,No,No,68,7.03,No,No,8,0.83,No,No,181,18.71,No,No,209,21.61,No,No,6,0.62,No,No,3,0.31,No,No,,No,No,,Mexico
4,000,2019,984046,4000,,,,No,Campeche,Non-border States,4,1,0.1,No,No,65,6.61,No,No,17,1.73,No,No,224,22.76,No,No,181,18.39,No,No,19,1.93,No,No,6,0.61,No,No,,No,No,,Mexico
4,000,2020,1000617,4000,,,,No,Campeche,Non-border States,4,0,0,No,No,78,7.8,No,No,14,1.4,No,No,158,15.79,No,No,,,,,12,1.2,No,No,1,0.1,No,No,1470,No,No,0.15,Mexico
7,000,2010,4857906,7000,,,,No,Chiapas,Non-border States,4,0,0,No,No,59,1.21,No,No,62,1.28,No,No,1204,24.78,No,No,342,7.04,No,No,471,9.7,No,No,41,0.84,No,No,3893,No,No,0.08,Mexico
7,000,2011,4944937,7000,,,,No,Chiapas,Non-border States,4,0,0,No,No,63,1.27,No,No,58,1.17,No,No,1081,21.86,No,No,450,9.1,No,No,440,8.9,No,No,10,0.2,No,No,,No,No,,Mexico
7,000,2012,5038786,7000,,,,No,Chiapas,Non-border States,4,0,0,No,No,55,1.09,No,No,73,1.45,No,No,1254,24.89,No,No,479,9.51,No,No,537,10.66,No,No,41,0.81,No,No,,No,No,,Mexico
7,000,2013,5130494,7000,,,,No,Chiapas,Non-border States,4,0,0,No,No,51,0.99,No,No,77,1.5,No,No,1246,24.29,No,No,529,10.31,No,No,747,14.56,No,No,24,0.47,No,No,,No,No,,Mexico
7,000,2014,5220622,7000,,,,No,Chiapas,Non-border States,4,0,0,No,No,79,1.51,No,No,133,2.55,No,No,1297,24.84,No,No,438,8.39,No,No,529,10.13,No,No,9,0.17,No,No,,No,No,,Mexico
7,000,2015,5307819,7000,,,,No,Chiapas,Non-border States,4,2,0.04,No,No,67,1.26,No,No,167,3.15,No,No,1307,24.62,No,No,473,8.91,No,No,360,6.78,No,No,8,0.15,No,No,,No,No,,Mexico
7,000,2016,5393944,7000,,,,No,Chiapas,Non-border States,4,1,0.02,No,No,107,1.98,No,No,130,2.41,No,No,1315,24.38,No,No,430,7.97,No,No,485,8.99,No,No,8,0.15,No,No,,No,No,,Mexico
7,000,2017,5479352,7000,,,,No,Chiapas,Non-border States,4,2,0.04,No,No,127,2.32,No,No,270,4.93,No,No,1365,24.91,No,No,451,8.23,No,No,360,6.57,No,No,11,0.2,No,No,,No,No,,Mexico
7,000,2018,5563869,7000,,,,No,Chiapas,Non-border States,4,7,0.13,No,No,119,2.14,No,No,255,4.58,No,No,1372,24.66,No,No,382,6.87,No,No,265,4.76,No,No,23,0.41,No,No,,No,No,,Mexico
7,000,2019,5647532,7000,,,,No,Chiapas,Non-border States,4,18,0.32,No,No,183,3.24,No,No,242,4.29,No,No,1501,26.58,No,No,380,6.73,No,No,377,6.68,No,No,46,0.81,No,No,,No,No,,Mexico
7,000,2020,5730367,7000,,,,No,Chiapas,Non-border States,4,0,0,No,No,123,2.15,No,No,304,5.31,No,No,1070,18.67,No,No,,,,,160,2.79,No,No,21,0.37,No,No,4986,No,No,0.09,Mexico
8,000,2010,3461882,8000,,,,Yes,Chihuahua,Border States,3,0,0,No,No,243,7.02,No,No,66,1.91,No,No,709,20.48,No,No,194,5.6,No,No,323,9.33,No,No,4,0.12,No,No,76726,No,No,2.22,Mexico
8,000,2011,3499552,8000,,,,Yes,Chihuahua,Border States,3,0,0,No,No,275,7.86,No,No,33,0.94,No,No,756,21.6,No,No,131,3.74,No,No,1178,33.66,No,No,16,0.46,No,No,,No,No,,Mexico
8,000,2012,3531604,8000,,,,Yes,Chihuahua,Border States,3,6,0.17,No,No,360,10.19,No,No,51,1.44,No,No,753,21.32,No,No,131,3.71,No,No,804,22.77,No,No,9,0.25,No,No,,No,No,,Mexico
8,000,2013,3561704,8000,,,,Yes,Chihuahua,Border States,3,2,0.06,No,No,299,8.39,No,No,28,0.79,No,No,696,19.54,No,No,152,4.27,No,No,299,8.39,No,No,2,0.06,No,No,,No,No,,Mexico
8,000,2014,3590344,8000,,,,Yes,Chihuahua,Border States,3,6,0.17,No,No,258,7.19,No,No,50,1.39,No,No,697,19.41,No,No,136,3.79,No,No,221,6.16,No,No,2,0.06,No,No,,No,No,,Mexico
8,000,2015,3616481,8000,,,,Yes,Chihuahua,Border States,3,9,0.25,No,No,297,8.21,No,No,65,1.8,No,No,745,20.6,No,No,137,3.79,No,No,176,4.87,No,No,9,0.25,No,No,,No,No,,Mexico
8,000,2016,3649416,8000,,,,Yes,Chihuahua,Border States,3,4,0.11,No,No,248,6.8,No,No,42,1.15,No,No,714,19.56,No,No,154,4.22,No,No,152,4.17,No,No,6,0.16,No,No,,No,No,,Mexico
8,000,2017,3689398,8000,,,,Yes,Chihuahua,Border States,3,21,0.57,No,No,149,4.04,No,No,166,4.5,No,No,688,18.65,No,No,170,4.61,No,No,132,3.58,No,No,12,0.33,No,No,,No,No,,Mexico
8,000,2018,3727984,8000,,,,Yes,Chihuahua,Border States,3,19,0.51,No,No,106,2.84,No,No,216,5.79,No,No,662,17.76,No,No,163,4.37,No,No,128,3.43,No,No,3,0.08,No,No,,No,No,,Mexico
8,000,2019,3765325,8000,,,,Yes,Chihuahua,Border States,3,41,1.09,No,No,349,9.27,No,No,274,7.28,No,No,764,20.29,No,No,140,3.72,No,No,181,4.81,No,No,16,0.42,No,No,,No,No,,Mexico
8,000,2020,3801487,8000,,,,Yes,Chihuahua,Border States,3,27,0.71,No,No,215,5.66,No,No,172,4.52,No,No,551,14.49,No,No,,,,,103,2.71,No,No,25,0.66,No,No,93373,No,No,2.46,Mexico
9,000,2010,8981871,9000,,,,No,Mexico City,Non-border States,4,0,0,No,No,79,0.88,No,No,19,0.21,No,No,744,8.28,No,No,452,5.03,No,No,1668,18.57,No,No,107,1.19,No,No,16798,No,No,0.19,Mexico
9,000,2011,9034475,9000,,,,No,Mexico City,Non-border States,4,0,0,No,No,129,1.43,No,No,26,0.29,No,No,805,8.91,No,No,205,2.27,No,No,1577,17.46,No,No,94,1.04,No,No,,No,No,,Mexico
9,000,2012,9049100,9000,,,,No,Mexico City,Non-border States,4,0,0,No,No,270,2.98,No,No,39,0.43,No,No,800,8.84,No,No,670,7.4,No,No,1339,14.8,No,No,80,0.88,No,No,,No,No,,Mexico
